key,es,en
NULL,"[b]probando traduccion[/b]","[b]probing holland[/b]"
1,"[b]probando 1[/b]","[b]probing 1[/b]"
2,"[b]probando 2[/b]","[b]probing 2[/b]"
3,"[b]probando 3[/b]","[b]probing 3[/b]"
4,"[b]probando 4[/b]","[b]probing 4[/b]"
5,"[b]probando 4[/b]","[b]probing 4[/b]"
6,"[b]probando 4[/b]","[b]probing 4[/b]"
7,"[b]probando 4[/b]","[b]probing 4[/b]"
8,"[b]probando 4[/b]","[b]probing 4[/b]"
9,"[b]probando 4[/b]","[b]probing 4[/b]"
10,"[b][/b]","[b][/b]"
CREDITS,"[b]con amor de[/b]","[b]with love from[/b]"
